Photon-Energy(MeV), Coherent Scattering (cm2/g), Incoherent Scattering (cm2/g), Photo-Electric Absorbtion (cm2/g)
1.00E-03,1.37E+00,1.32E-02,4.08E+03
2.00E-03,1.15E+00,4.18E-02,6.16E+02
3.00E-03,9.09E-01,7.08E-02,1.92E+02
4.00E-03,7.08E-01,9.43E-02,8.20E+01
5.00E-03,5.58E-01,1.12E-01,4.19E+01
6.00E-03,4.49E-01,1.26E-01,2.41E+01
7.00E-03,3.69E-01,1.36E-01,1.50E+01
8.00E-03,3.10E-01,1.44E-01,9.92E+00
9.00E-03,2.65E-01,1.50E-01,6.88E+00
1.00E-02,2.31E-01,1.55E-01,4.94E+00
1.10E-02,2.03E-01,1.59E-01,3.66E+00
1.20E-02,1.81E-01,1.62E-01,2.78E+00
1.30E-02,1.62E-01,1.65E-01,2.16E+00
1.40E-02,1.47E-01,1.68E-01,1.71E+00
1.50E-02,1.33E-01,1.70E-01,1.37E+00
1.60E-02,1.22E-01,1.72E-01,1.11E+00
1.70E-02,1.12E-01,1.74E-01,9.17E-01
1.80E-02,1.03E-01,1.75E-01,7.64E-01
1.90E-02,9.55E-02,1.76E-01,6.42E-01
2.00E-02,8.86E-02,1.77E-01,5.44E-01
2.10E-02,8.24E-02,1.78E-01,4.65E-01
2.20E-02,7.68E-02,1.79E-01,4.00E-01
2.30E-02,7.17E-02,1.80E-01,3.46E-01
2.40E-02,6.72E-02,1.81E-01,3.02E-01
2.50E-02,6.30E-02,1.81E-01,2.64E-01
2.60E-02,5.92E-02,1.82E-01,2.32E-01
2.70E-02,5.57E-02,1.82E-01,2.06E-01
2.80E-02,5.26E-02,1.82E-01,1.83E-01
2.90E-02,4.96E-02,1.83E-01,1.63E-01
3.00E-02,4.69E-02,1.83E-01,1.46E-01
3.10E-02,4.45E-02,1.83E-01,1.31E-01
3.20E-02,4.22E-02,1.83E-01,1.18E-01
3.30E-02,4.00E-02,1.83E-01,1.07E-01
3.40E-02,3.80E-02,1.83E-01,9.68E-02
3.50E-02,3.62E-02,1.83E-01,8.80E-02
3.60E-02,3.45E-02,1.83E-01,8.03E-02
3.70E-02,3.29E-02,1.83E-01,7.34E-02
3.80E-02,3.14E-02,1.83E-01,6.72E-02
3.90E-02,3.00E-02,1.83E-01,6.17E-02
4.00E-02,2.87E-02,1.83E-01,5.68E-02
4.10E-02,2.75E-02,1.83E-01,5.24E-02
4.20E-02,2.64E-02,1.82E-01,4.84E-02
4.30E-02,2.53E-02,1.82E-01,4.48E-02
4.40E-02,2.43E-02,1.82E-01,4.15E-02
4.50E-02,2.34E-02,1.82E-01,3.86E-02
4.60E-02,2.25E-02,1.81E-01,3.59E-02
4.70E-02,2.16E-02,1.81E-01,3.34E-02
4.80E-02,2.08E-02,1.81E-01,3.12E-02
4.90E-02,2.01E-02,1.81E-01,2.91E-02
5.00E-02,1.94E-02,1.80E-01,2.73E-02
5.10E-02,1.87E-02,1.80E-01,2.55E-02
5.20E-02,1.80E-02,1.80E-01,2.39E-02
5.30E-02,1.74E-02,1.79E-01,2.25E-02
5.40E-02,1.69E-02,1.79E-01,2.11E-02
5.50E-02,1.63E-02,1.79E-01,1.99E-02
5.60E-02,1.58E-02,1.78E-01,1.88E-02
5.70E-02,1.53E-02,1.78E-01,1.77E-02
5.80E-02,1.48E-02,1.78E-01,1.67E-02
5.90E-02,1.44E-02,1.77E-01,1.58E-02
6.00E-02,1.39E-02,1.77E-01,1.49E-02
6.10E-02,1.35E-02,1.77E-01,1.41E-02
6.20E-02,1.31E-02,1.76E-01,1.34E-02
6.30E-02,1.27E-02,1.76E-01,1.27E-02
6.40E-02,1.24E-02,1.76E-01,1.21E-02
6.50E-02,1.20E-02,1.75E-01,1.15E-02
6.60E-02,1.17E-02,1.75E-01,1.09E-02
6.70E-02,1.14E-02,1.75E-01,1.04E-02
6.80E-02,1.11E-02,1.74E-01,9.87E-03
6.90E-02,1.08E-02,1.74E-01,9.41E-03
7.00E-02,1.05E-02,1.73E-01,8.97E-03
7.10E-02,1.02E-02,1.73E-01,8.56E-03
7.20E-02,9.94E-03,1.73E-01,8.17E-03
7.30E-02,9.69E-03,1.72E-01,7.81E-03
7.40E-02,9.45E-03,1.72E-01,7.47E-03
7.50E-02,9.21E-03,1.72E-01,7.14E-03
7.60E-02,8.99E-03,1.71E-01,6.84E-03
7.70E-02,8.77E-03,1.71E-01,6.55E-03
7.80E-02,8.56E-03,1.71E-01,6.27E-03
7.90E-02,8.36E-03,1.70E-01,6.02E-03
8.00E-02,8.17E-03,1.70E-01,5.77E-03
8.10E-02,7.98E-03,1.69E-01,5.54E-03
8.20E-02,7.79E-03,1.69E-01,5.32E-03
8.30E-02,7.62E-03,1.69E-01,5.11E-03
8.40E-02,7.45E-03,1.68E-01,4.91E-03
8.50E-02,7.28E-03,1.68E-01,4.72E-03
8.60E-02,7.13E-03,1.68E-01,4.54E-03
8.70E-02,6.97E-03,1.67E-01,4.37E-03
8.80E-02,6.82E-03,1.67E-01,4.21E-03
8.90E-02,6.68E-03,1.67E-01,4.06E-03
9.00E-02,6.54E-03,1.66E-01,3.91E-03
9.10E-02,6.40E-03,1.66E-01,3.77E-03
9.20E-02,6.27E-03,1.65E-01,3.64E-03
9.30E-02,6.14E-03,1.65E-01,3.51E-03
9.40E-02,6.02E-03,1.65E-01,3.39E-03
9.50E-02,5.90E-03,1.64E-01,3.27E-03
9.60E-02,5.78E-03,1.64E-01,3.16E-03
9.70E-02,5.67E-03,1.64E-01,3.05E-03
9.80E-02,5.56E-03,1.63E-01,2.95E-03
9.90E-02,5.45E-03,1.63E-01,2.86E-03
1.00E-01,5.35E-03,1.63E-01,2.76E-03
